submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s376726928,p00002,u110079031,1477658176,JavaScript,JavaScript,js,Wrong Answer,80,17244,645,0/1
s353050695,p00002,u110079031,1477658339,JavaScript,JavaScript,js,Wrong Answer,80,17168,642,0/1
s744574884,p00002,u110079031,1477661874,JavaScript,JavaScript,js,Wrong Answer,60,16336,570,0/1
s439833680,p00002,u855222618,1477747680,JavaScript,JavaScript,js,Runtime Error,0,0,349,0/1
s535196168,p00002,u193012322,1478057304,JavaScript,JavaScript,js,Wrong Answer,60,16084,404,0/1
s450497450,p00002,u193012322,1478057370,JavaScript,JavaScript,js,Wrong Answer,60,16296,416,0/1
s740743862,p00002,u193012322,1478057445,JavaScript,JavaScript,js,Wrong Answer,60,16172,401,0/1
s757059988,p00002,u193012322,1478057894,JavaScript,JavaScript,js,Accepted,80,16108,423,1/1
s546512611,p00002,u700525718,1478749453,JavaScript,JavaScript,js,Wrong Answer,70,15700,177,0/1
s464009792,p00002,u700525718,1478749691,JavaScript,JavaScript,js,Wrong Answer,60,16140,247,0/1
s269384271,p00002,u700525718,1478749977,JavaScript,JavaScript,js,Wrong Answer,60,16240,290,0/1
s123494810,p00002,u700525718,1478750138,JavaScript,JavaScript,js,Wrong Answer,80,16184,336,0/1
s792246935,p00002,u700525718,1478750270,JavaScript,JavaScript,js,Wrong Answer,60,16252,338,0/1
s298490083,p00002,u646888701,1478784470,JavaScript,JavaScript,js,Wrong Answer,60,15484,160,0/1
s490044453,p00002,u646888701,1478784738,JavaScript,JavaScript,js,Wrong Answer,60,15596,155,0/1
s421497471,p00002,u646888701,1478784788,JavaScript,JavaScript,js,Wrong Answer,60,15460,286,0/1
s475470710,p00002,u646888701,1478784972,JavaScript,JavaScript,js,Wrong Answer,60,15344,270,0/1
s711592507,p00002,u646888701,1478785415,JavaScript,JavaScript,js,Wrong Answer,60,15824,261,0/1
s781117257,p00002,u646888701,1478785448,JavaScript,JavaScript,js,Wrong Answer,60,15564,262,0/1
s656682808,p00002,u646888701,1478785626,JavaScript,JavaScript,js,Runtime Error,0,0,263,0/1
s091325807,p00002,u646888701,1478785656,JavaScript,JavaScript,js,Wrong Answer,50,15504,264,0/1
s641978816,p00002,u646888701,1478790201,JavaScript,JavaScript,js,Wrong Answer,50,15528,204,0/1
s257815326,p00002,u646888701,1478790321,JavaScript,JavaScript,js,Wrong Answer,50,15596,139,0/1
s737410647,p00002,u646888701,1478790382,JavaScript,JavaScript,js,Wrong Answer,60,15404,228,0/1
s689286226,p00002,u646888701,1478791076,JavaScript,JavaScript,js,Runtime Error,0,0,206,0/1
s597540808,p00002,u700525718,1478833802,JavaScript,JavaScript,js,Runtime Error,0,0,351,0/1
s919023390,p00002,u700525718,1478833848,JavaScript,JavaScript,js,Runtime Error,0,0,353,0/1
s865436226,p00002,u700525718,1478833913,JavaScript,JavaScript,js,Accepted,60,16028,347,1/1
s280857597,p00002,u609092305,1479045119,JavaScript,JavaScript,js,Accepted,60,16060,551,1/1
s424756922,p00002,u901358120,1479125627,JavaScript,JavaScript,js,Wrong Answer,70,15524,261,0/1
s312470024,p00002,u901358120,1479125677,JavaScript,JavaScript,js,Wrong Answer,50,15180,226,0/1
s818001331,p00002,u828399801,1480042921,JavaScript,JavaScript,js,Accepted,60,15760,335,1/1
s396882965,p00002,u608123064,1480488239,JavaScript,JavaScript,js,Runtime Error,0,0,855,0/1
s893873763,p00002,u608123064,1480493616,JavaScript,JavaScript,js,Wrong Answer,60,16976,826,0/1
s834048219,p00002,u608123064,1480494241,JavaScript,JavaScript,js,Wrong Answer,60,16848,793,0/1
s203282541,p00002,u608123064,1480494447,JavaScript,JavaScript,js,Wrong Answer,80,16132,639,0/1
s968701164,p00002,u608123064,1480494511,JavaScript,JavaScript,js,Wrong Answer,60,16252,639,0/1
s110211351,p00002,u608123064,1480494639,JavaScript,JavaScript,js,Wrong Answer,60,16284,549,0/1
s141186058,p00002,u608123064,1480494888,JavaScript,JavaScript,js,Wrong Answer,60,16104,532,0/1
s667369611,p00002,u608123064,1480494983,JavaScript,JavaScript,js,Runtime Error,0,0,575,0/1
s852641859,p00002,u608123064,1480495074,JavaScript,JavaScript,js,Runtime Error,0,0,563,0/1
s585688124,p00002,u608123064,1480495162,JavaScript,JavaScript,js,Wrong Answer,60,16280,551,0/1
s013361482,p00002,u608123064,1480495993,JavaScript,JavaScript,js,Accepted,60,16088,247,1/1
s837272807,p00002,u627626670,1484812509,JavaScript,JavaScript,js,Runtime Error,0,0,283,0/1
s266266662,p00002,u627626670,1484812714,JavaScript,JavaScript,js,Wrong Answer,70,17048,289,0/1
s277354611,p00002,u627626670,1484812782,JavaScript,JavaScript,js,Wrong Answer,70,17076,289,0/1
s824624720,p00002,u627626670,1484831256,JavaScript,JavaScript,js,Accepted,60,16448,296,1/1
s656454343,p00002,u450407555,1486724839,JavaScript,JavaScript,js,Wrong Answer,60,16180,307,0/1
s552759583,p00002,u450407555,1486724959,JavaScript,JavaScript,js,Wrong Answer,60,15972,315,0/1
s530917465,p00002,u450407555,1486725025,JavaScript,JavaScript,js,Accepted,60,15972,322,1/1
s880776612,p00002,u860694927,1489928048,JavaScript,JavaScript,js,Wrong Answer,60,15552,8726,0/1
s994364313,p00002,u860694927,1489929363,JavaScript,JavaScript,js,Wrong Answer,60,15364,8938,0/1
s043991786,p00002,u043505027,1489930077,JavaScript,JavaScript,js,Runtime Error,0,0,13,0/1
s988368041,p00002,u043505027,1489930918,JavaScript,JavaScript,js,Runtime Error,0,0,46,0/1
s104374516,p00002,u860694927,1489931251,JavaScript,JavaScript,js,Accepted,70,17012,9765,1/1
s819301658,p00002,u860694927,1489931578,JavaScript,JavaScript,js,Accepted,80,17196,9741,1/1
s365574141,p00002,u043505027,1489931621,JavaScript,JavaScript,js,Wrong Answer,60,15460,327,0/1
s282590410,p00002,u043505027,1489933853,JavaScript,JavaScript,js,Wrong Answer,60,15396,341,0/1
s293266925,p00002,u043505027,1489934012,JavaScript,JavaScript,js,Wrong Answer,60,15396,367,0/1
s537265293,p00002,u043505027,1489936869,JavaScript,JavaScript,js,Wrong Answer,60,15560,611,0/1
s051095011,p00002,u043505027,1489937022,JavaScript,JavaScript,js,WA: Presentation Error,60,15676,613,0/1
s012212881,p00002,u043505027,1489937313,JavaScript,JavaScript,js,WA: Presentation Error,60,15812,645,0/1
s771678585,p00002,u043505027,1489938353,JavaScript,JavaScript,js,Accepted,60,15716,702,1/1
s001391278,p00002,u059378405,1492180679,JavaScript,JavaScript,js,Wrong Answer,50,15404,30,0/1
s325691287,p00002,u059378405,1492180709,JavaScript,JavaScript,js,Wrong Answer,50,15404,30,0/1
s443198440,p00002,u059378405,1492180824,JavaScript,JavaScript,js,Wrong Answer,60,15500,17,0/1
s137433414,p00002,u811773570,1494177685,JavaScript,JavaScript,js,Accepted,60,16044,292,1/1
s000320207,p00002,u618637847,1494290960,JavaScript,JavaScript,js,Accepted,70,16976,421,1/1
s316365716,p00002,u151242583,1494293697,JavaScript,JavaScript,js,Wrong Answer,60,16304,382,0/1
s328758119,p00002,u151242583,1494293820,JavaScript,JavaScript,js,Wrong Answer,60,17136,387,0/1
s519605981,p00002,u151242583,1494293894,JavaScript,JavaScript,js,Wrong Answer,70,17176,389,0/1
s546391240,p00002,u151242583,1494294009,JavaScript,JavaScript,js,Wrong Answer,70,17152,401,0/1
s965268177,p00002,u151242583,1494294151,JavaScript,JavaScript,js,Wrong Answer,70,17184,401,0/1
s158541572,p00002,u151242583,1494294696,JavaScript,JavaScript,js,Accepted,60,16340,482,1/1
s506071763,p00002,u151242583,1494294713,JavaScript,JavaScript,js,Wrong Answer,70,16392,486,0/1
s142100984,p00002,u172120093,1494771666,JavaScript,JavaScript,js,Runtime Error,0,0,432,0/1
s526796616,p00002,u172120093,1494856059,JavaScript,JavaScript,js,Accepted,60,15888,432,1/1
s563780166,p00002,u783417710,1496584850,JavaScript,JavaScript,js,Accepted,60,16112,265,1/1
s944314567,p00002,u239637240,1496918999,JavaScript,JavaScript,js,Accepted,50,15784,411,1/1
s445101372,p00002,u386225917,1508678676,JavaScript,JavaScript,js,Accepted,60,16432,260,1/1
s400874725,p00002,u638120273,1523350409,JavaScript,JavaScript,js,Wrong Answer,80,15164,290,0/1
s433314351,p00002,u615727692,1357749573,JavaScript,JavaScript,js,Accepted,30,9996,736,1/1
s984098271,p00002,u647766105,1360229381,JavaScript,JavaScript,js,Wrong Answer,20,8968,251,0/1
s349558099,p00002,u647766105,1360229623,JavaScript,JavaScript,js,Wrong Answer,20,9000,252,0/1
s010265701,p00002,u647766105,1360229649,JavaScript,JavaScript,js,Wrong Answer,20,8756,228,0/1
s541876544,p00002,u647766105,1360230703,JavaScript,JavaScript,js,Wrong Answer,30,8972,243,0/1
s714312049,p00002,u647766105,1360327127,JavaScript,JavaScript,js,Accepted,20,9000,267,1/1
s721204703,p00002,u730337305,1374760171,JavaScript,JavaScript,js,Accepted,20,8968,159,1/1
s582289215,p00002,u963526557,1376026082,JavaScript,JavaScript,js,Wrong Answer,20,8756,253,0/1
s229234362,p00002,u893160148,1377498995,JavaScript,JavaScript,js,Accepted,20,8776,882,1/1
s253146944,p00002,u854447110,1378471720,JavaScript,JavaScript,js,Wrong Answer,20,8948,403,0/1
s788853036,p00002,u854447110,1378472508,JavaScript,JavaScript,js,Accepted,20,8968,184,1/1
s206021683,p00002,u845053458,1399102863,JavaScript,JavaScript,js,Wrong Answer,20,8956,257,0/1
s963175837,p00002,u845053458,1399103090,JavaScript,JavaScript,js,Wrong Answer,20,8780,247,0/1
s403651895,p00002,u845053458,1399103526,JavaScript,JavaScript,js,Wrong Answer,20,8780,271,0/1
s581024646,p00002,u845053458,1399103678,JavaScript,JavaScript,js,Accepted,20,8944,299,1/1
s145440728,p00002,u009961299,1547975360,JavaScript,JavaScript,js,Accepted,90,16548,501,1/1
s392648448,p00002,u873140924,1541084960,C#,C#,cs,Wrong Answer,50,15860,275,0/1
s880202129,p00002,u873140924,1541085023,C#,C#,cs,Wrong Answer,60,15816,249,0/1
s405831765,p00002,u873140924,1541085437,C#,C#,cs,Accepted,60,13856,325,1/1
s134953370,p00002,u230288735,1551519545,C#,C#,cs,Runtime Error,0,0,545,0/1
s868232337,p00002,u230288735,1551521184,C#,C#,cs,Runtime Error,0,0,486,0/1
s608510490,p00002,u230288735,1551523292,C#,C#,cs,Wrong Answer,60,18292,548,0/1
s343287607,p00002,u230288735,1551523635,C#,C#,cs,Accepted,40,16320,548,1/1
s610331214,p00002,u131592835,1404046962,C#,C#,cs,Compile Error,50,0,381,0/1
s921853185,p00002,u131592835,1404047040,C#,C#,cs,Runtime Error,0,0,417,0/1
s966079030,p00002,u131592835,1404047366,C#,C#,cs,Accepted,20,5624,419,1/1
s364643807,p00002,u350259236,1405402119,C#,C#,cs,Compile Error,50,0,335,0/1
s402519436,p00002,u350259236,1405402279,C#,C#,cs,Compile Error,50,0,251,0/1
s294708120,p00002,u350259236,1405402514,C#,C#,cs,Compile Error,50,0,352,0/1
s796971077,p00002,u350259236,1405479561,C#,C#,cs,Compile Error,1680,0,366,0/1
s397264969,p00002,u350259236,1405479784,C#,C#,cs,Compile Error,40,0,341,0/1
s500032448,p00002,u350259236,1405479890,C#,C#,cs,Compile Error,40,0,363,0/1
s055057036,p00002,u350259236,1405479937,C#,C#,cs,Compile Error,40,0,374,0/1
s522250676,p00002,u350259236,1405479995,C#,C#,cs,Compile Error,40,0,396,0/1
s641161682,p00002,u350259236,1405480289,C#,C#,cs,Compile Error,40,0,414,0/1
s165604175,p00002,u350259236,1405480439,C#,C#,cs,Accepted,20,5636,414,1/1
s819009746,p00002,u206866751,1408423945,C#,C#,cs,Runtime Error,0,0,530,0/1
s172325793,p00002,u206866751,1408423987,C#,C#,cs,Runtime Error,0,0,511,0/1
s347236679,p00002,u206866751,1408424159,C#,C#,cs,Wrong Answer,20,5720,553,0/1
s298271939,p00002,u206866751,1408424236,C#,C#,cs,Runtime Error,0,0,525,0/1
s173927904,p00002,u206866751,1408424764,C#,C#,cs,Runtime Error,0,0,618,0/1
s372365907,p00002,u206866751,1408424972,C#,C#,cs,Runtime Error,0,0,660,0/1
s257575891,p00002,u206866751,1408425072,C#,C#,cs,Wrong Answer,10,5236,620,0/1
s689091497,p00002,u206866751,1408425211,C#,C#,cs,Accepted,20,5636,689,1/1
s734022978,p00002,u271540588,1416444725,C#,C#,cs,Wrong Answer,20,5604,324,0/1
s812800995,p00002,u271540588,1416444841,C#,C#,cs,Compile Error,20,0,326,0/1
s400691720,p00002,u271540588,1416445940,C#,C#,cs,Wrong Answer,20,5628,379,0/1
s098531432,p00002,u271540588,1416446030,C#,C#,cs,Compile Error,40,0,378,0/1
s976316290,p00002,u271540588,1416446502,C#,C#,cs,Accepted,20,5584,420,1/1
s120154937,p00002,u271540588,1416447636,C#,C#,cs,Accepted,20,5636,555,1/1
s338445779,p00002,u749501700,1418629237,C#,C#,cs,Accepted,20,5880,464,1/1
s111448621,p00002,u955011015,1418819919,C#,C#,cs,Runtime Error,0,0,504,0/1
s179986621,p00002,u955011015,1418820196,C#,C#,cs,Runtime Error,0,0,500,0/1
s982171808,p00002,u955011015,1418820482,C#,C#,cs,Runtime Error,0,0,556,0/1
s591734124,p00002,u955011015,1418820759,C#,C#,cs,Wrong Answer,20,5608,677,0/1
s774876708,p00002,u955011015,1418822706,C#,C#,cs,Runtime Error,0,0,526,0/1
s752635055,p00002,u955011015,1418823341,C#,C#,cs,Accepted,20,5640,543,1/1
s797487702,p00002,u145481182,1419581733,C#,C#,cs,Compile Error,20,0,403,0/1
s506670534,p00002,u145481182,1419581882,C#,C#,cs,Compile Error,20,0,416,0/1
s075660379,p00002,u145481182,1419582367,C#,C#,cs,Compile Error,10,0,430,0/1
s626525125,p00002,u145481182,1419585533,C#,C#,cs,Compile Error,130,0,425,0/1
s231290939,p00002,u145481182,1419585559,C#,C#,cs,Compile Error,130,0,426,0/1
s586934299,p00002,u145481182,1419585631,C#,C#,cs,Compile Error,100,0,426,0/1
s456296837,p00002,u145481182,1419585659,C#,C#,cs,Wrong Answer,20,6012,427,0/1
s899895846,p00002,u145481182,1419585681,C#,C#,cs,Wrong Answer,20,6016,427,0/1
s800004248,p00002,u145481182,1419585722,C#,C#,cs,Accepted,20,6028,427,1/1
s383253422,p00002,u987218785,1419740879,C#,C#,cs,Accepted,20,5732,575,1/1
s895749412,p00002,u552695780,1420168023,C#,C#,cs,Wrong Answer,20,5600,271,0/1
s209148997,p00002,u552695780,1420170614,C#,C#,cs,Wrong Answer,20,5544,337,0/1
s216150805,p00002,u552695780,1420171116,C#,C#,cs,Compile Error,0,0,564,0/1
s018002829,p00002,u552695780,1420171520,C#,C#,cs,Runtime Error,0,0,571,0/1
s374173403,p00002,u552695780,1420171686,C#,C#,cs,Runtime Error,0,0,499,0/1
s191419377,p00002,u552695780,1422366999,C#,C#,cs,Compile Error,0,0,901,0/1
s287381044,p00002,u552695780,1422367168,C#,C#,cs,Accepted,20,5564,851,1/1
s470400213,p00002,u610818717,1425361750,C#,C#,cs,Runtime Error,0,0,473,0/1
s449169875,p00002,u610818717,1425362018,C#,C#,cs,Runtime Error,0,0,632,0/1
s041617695,p00002,u206935265,1425362408,C#,C#,cs,Accepted,20,5892,275,1/1
s716811016,p00002,u610818717,1425365303,C#,C#,cs,Runtime Error,0,0,497,0/1
s546296182,p00002,u610818717,1425365466,C#,C#,cs,Runtime Error,0,0,483,0/1
s561235273,p00002,u610818717,1425365692,C#,C#,cs,Accepted,10,5640,485,1/1
s937880822,p00002,u170058853,1427567605,C#,C#,cs,Accepted,20,5884,445,1/1
s177224739,p00002,u024343612,1427806689,C#,C#,cs,Runtime Error,0,0,632,0/1
s290959562,p00002,u024343612,1427806949,C#,C#,cs,Runtime Error,0,0,621,0/1
s375865582,p00002,u024343612,1427807121,C#,C#,cs,Runtime Error,0,0,469,0/1
s916300628,p00002,u024343612,1427807344,C#,C#,cs,Runtime Error,0,0,621,0/1
s778407559,p00002,u024343612,1427807599,C#,C#,cs,Runtime Error,0,0,627,0/1
s437044436,p00002,u024343612,1427808138,C#,C#,cs,Runtime Error,0,0,636,0/1
s887421357,p00002,u024343612,1427808264,C#,C#,cs,Runtime Error,0,0,652,0/1
s914906953,p00002,u024343612,1427808416,C#,C#,cs,Accepted,20,5628,639,1/1
s856696135,p00002,u906710658,1428301540,C#,C#,cs,WA: Presentation Error,20,5636,799,0/1
s710402460,p00002,u906710658,1428301664,C#,C#,cs,Accepted,20,5632,791,1/1
s491932100,p00002,u933218756,1429191298,C#,C#,cs,Compile Error,70,0,931,0/1
s575391020,p00002,u933218756,1429191353,C#,C#,cs,Compile Error,250,0,863,0/1
s994784562,p00002,u933218756,1429191634,C#,C#,cs,Compile Error,20,0,882,0/1
s594049509,p00002,u933218756,1429191765,C#,C#,cs,Compile Error,40,0,849,0/1
s378187111,p00002,u933218756,1429192072,C#,C#,cs,Compile Error,40,0,862,0/1
s117171122,p00002,u933218756,1429192221,C#,C#,cs,Accepted,10,5632,1472,1/1
s968562550,p00002,u933218756,1429192273,C#,C#,cs,Accepted,20,5632,914,1/1
s776356269,p00002,u113716229,1429292939,C#,C#,cs,Accepted,20,5640,372,1/1
s193116685,p00002,u438475153,1429349871,C#,C#,cs,Accepted,20,5700,960,1/1
s022756427,p00002,u874419660,1429514993,C#,C#,cs,Runtime Error,0,0,549,0/1
s500729099,p00002,u874419660,1429515171,C#,C#,cs,Runtime Error,0,0,524,0/1
s210421651,p00002,u874419660,1429515320,C#,C#,cs,Runtime Error,0,0,543,0/1
s216134670,p00002,u115538167,1429681880,C#,C#,cs,Runtime Error,0,0,733,0/1
s339054432,p00002,u115538167,1429766210,C#,C#,cs,Runtime Error,0,0,1206,0/1
s161860758,p00002,u115538167,1429766904,C#,C#,cs,Runtime Error,0,0,1222,0/1
s327215639,p00002,u115538167,1429767113,C#,C#,cs,Accepted,20,5628,1208,1/1
s082866666,p00002,u316256620,1430664803,C#,C#,cs,Wrong Answer,20,5648,316,0/1
s268846985,p00002,u316256620,1430664983,C#,C#,cs,Wrong Answer,20,5584,418,0/1
s685206631,p00002,u316256620,1430665020,C#,C#,cs,Wrong Answer,20,5660,455,0/1
s956449026,p00002,u316256620,1430665065,C#,C#,cs,Accepted,20,5632,488,1/1
s347115693,p00002,u026268392,1431565515,C#,C#,cs,Accepted,10,5696,513,1/1
s920397715,p00002,u108818596,1431853462,C#,C#,cs,Runtime Error,0,0,1629,0/1
s803010109,p00002,u108818596,1431853890,C#,C#,cs,Runtime Error,0,0,802,0/1
s412657662,p00002,u108818596,1431854194,C#,C#,cs,Runtime Error,0,0,798,0/1
s054087222,p00002,u108818596,1431854467,C#,C#,cs,Accepted,20,5692,811,1/1
s918663950,p00002,u829760454,1432204850,C#,C#,cs,Runtime Error,0,0,864,0/1
s669741012,p00002,u565801464,1432204907,C#,C#,cs,Runtime Error,0,0,2074,0/1
s592440204,p00002,u829760454,1432204920,C#,C#,cs,Runtime Error,0,0,788,0/1
s504365584,p00002,u829760454,1432205039,C#,C#,cs,Accepted,20,5768,790,1/1
s092050446,p00002,u565801464,1432205246,C#,C#,cs,Wrong Answer,10,5216,2074,0/1
s895760439,p00002,u565801464,1432205564,C#,C#,cs,Accepted,20,5640,2017,1/1
s546081280,p00002,u264316871,1433753243,C#,C#,cs,Accepted,30,5640,388,1/1
s071369819,p00002,u759763199,1436259992,C#,C#,cs,Wrong Answer,20,19964,620,0/1
s105237321,p00002,u759763199,1436270886,C#,C#,cs,Accepted,20,5704,583,1/1
